iter	Logloss
152	0.4690955514
153	0.468844028
154	0.4687499718
155	0.4687267861
156	0.4685436391
157	0.46843873
158	0.4683037288
159	0.4681372001
160	0.4680346122
161	0.4680344372
162	0.4679774789
163	0.4678917154
164	0.4678564334
165	0.4678231339
166	0.4676396335
167	0.4674435906
168	0.4673393619
169	0.4671281171
170	0.4670067781
171	0.4668249793
172	0.4667305408
173	0.4666319978
174	0.4665188925
175	0.4665084564
176	0.4663923784
177	0.4663128411
178	0.4663050329
179	0.4662861006
180	0.4662481954
181	0.4661373711
182	0.4659633242
183	0.4658497389
184	0.4657219995
185	0.4656827678
186	0.4656046784
187	0.4655299513
188	0.4654429069
189	0.4652853937
190	0.4652843158
191	0.4652399475
192	0.4650349976
193	0.4648301213
194	0.4646424959
195	0.4645295314
196	0.4645294205
197	0.4644175472
198	0.4642668165
199	0.4642035875
200	0.4639840446
201	0.4638592029
202	0.4638286415
203	0.4637878147
204	0.4637135872
205	0.4636364975
206	0.4635417033
207	0.4635288479
208	0.4634900432
209	0.4634341716
210	0.4633351406
211	0.4631849084
212	0.462940413
213	0.4626778561
214	0.4626139088
215	0.4625892583
216	0.462582361
217	0.4625753717
218	0.4625575766
219	0.4624871409
220	0.4624551029
221	0.4624322518
222	0.4623889182
223	0.4623210435
224	0.4622811265
225	0.4622447644
226	0.4621179709
227	0.4621179706
228	0.4620312231
229	0.4619202227
230	0.4617939179
231	0.4615257922
232	0.461498043
233	0.4614969328
234	0.4614031313
235	0.4613044605
236	0.4613033228
237	0.4611866217
238	0.4609972521
239	0.4609062451
240	0.4607905101
241	0.4607649824
242	0.4606904035
243	0.4605532961
244	0.4605479997
245	0.4605258241
246	0.460339555
247	0.4602401718
248	0.4600146732
249	0.4599006697
250	0.4599006693
251	0.4598588185
252	0.4598007933
253	0.4597037795
254	0.4595504948
255	0.4595238826
256	0.4595238826
257	0.4594896207
258	0.4593475378
259	0.459344359
260	0.459222366
261	0.4591351312
262	0.4590545782
263	0.459051993
264	0.4589998504
265	0.4589440124
266	0.4589240668
267	0.4587547304
268	0.4587479757
269	0.4587455337
270	0.4587108502
271	0.4585134394
272	0.4584709673
273	0.4584449815
274	0.4583894767
275	0.4581931364
276	0.4581823393
277	0.4581685028
278	0.4580494513
279	0.4579718372
280	0.4579488248
281	0.4578425595
282	0.4578302794
283	0.457793634
284	0.4577156956
285	0.4576624927
286	0.457541417
287	0.4573315469
288	0.4572447973
289	0.4571858341
290	0.457052025
291	0.4570511655
292	0.4569774123
293	0.4569766977
294	0.4569356971
295	0.4569035632
296	0.4568836164
297	0.4568260575
298	0.4567334903
299	0.4567121502
300	0.4566055008
301	0.4564498851
302	0.456295763
303	0.4562516137
304	0.456119012
305	0.4560638133
306	0.4558562693
307	0.4557425658
308	0.4556845164
309	0.4555769261
310	0.4554774971
311	0.4553341039
312	0.4550290536
313	0.4550164472
314	0.4549638017
315	0.4549299662
316	0.4548671187
317	0.4546604997
318	0.4544692415
319	0.454372854
320	0.4543287211
321	0.4541631884
322	0.4540925417
323	0.4538326934
324	0.4537768833
325	0.4534619927
326	0.4534587241
327	0.4532203181
328	0.4529944931
329	0.4529472671
330	0.4527601363
331	0.452689599
332	0.4525891543
333	0.4524683565
334	0.452286199
335	0.4522216349
336	0.4520696004
337	0.451943595
338	0.4518696148
339	0.4518573347
340	0.4517707745
341	0.451673166
342	0.4514752933
343	0.4514137531
344	0.4513970893
345	0.4513778632
346	0.4513487987
347	0.451169757
348	0.4509987097
349	0.450868934
350	0.4507708349
351	0.4506501134
352	0.4505331647
353	0.4502533976
354	0.4501645384
355	0.4501211392
356	0.4500112011
357	0.4499668125
358	0.4499568946
359	0.4497329913
360	0.4496418573
361	0.4496195013
362	0.4494914556
363	0.4493361944
364	0.4492167623
365	0.4491024123
366	0.4490892639
367	0.4488348005
368	0.4487852155
369	0.4486330307
370	0.4485994459
371	0.448539618
372	0.4484963996
373	0.448434485
374	0.4483850151
375	0.4483195086
376	0.4482827836
377	0.4480941048
378	0.448046996
379	0.4478239654
380	0.4476305399
381	0.4475912517
382	0.4475284053
383	0.4474901895
384	0.4474585709
385	0.4472679055
386	0.4472158301
387	0.4469644852
388	0.4469065583
389	0.4466559739
390	0.4466426463
391	0.4464967002
392	0.4463288253
393	0.4461003669
394	0.4460659238
395	0.4458891817
396	0.445687271
397	0.4456005598
398	0.4454337057
399	0.4453781531
400	0.4452147563
401	0.4450526017
402	0.4449249913
403	0.4448041704
404	0.4447533837
405	0.4446965093
406	0.4445903262
407	0.4445518673
408	0.4443761905
409	0.4442635781
410	0.444228303
411	0.444086839
412	0.444066225
413	0.4440295325
414	0.4439710815
415	0.4439283228
416	0.4438013756
417	0.4437317293
418	0.4437284889
419	0.4436110525
420	0.4435602953
421	0.4434825325
422	0.4433306266
423	0.4432661159
424	0.4432215254
425	0.4430754499
426	0.442903891
427	0.44286944
428	0.442813561
429	0.4427101249
430	0.4426815975
431	0.4425637652
432	0.4425415314
433	0.4423718321
434	0.4422002818
435	0.4421668687
436	0.442125784
437	0.4419536364
438	0.4419127698
439	0.4417861082
440	0.4417420379
441	0.4415670842
442	0.4415145249
443	0.4415118212
444	0.4414815392
445	0.4413492284
446	0.4412162628
447	0.4411938526
448	0.4410326824
449	0.4409822718
450	0.4408039613
451	0.4406538109
452	0.4405946434
453	0.4403698636
454	0.4403529952
455	0.4403168748
456	0.4401960017
457	0.4401775586
458	0.4400260512
459	0.4398246918
460	0.439806681
461	0.4397703578
462	0.4397203863
463	0.4395932668
464	0.4394941865
465	0.4394730231
466	0.439342883
467	0.4392259144
468	0.4392126717
469	0.4391927178
470	0.4389892116
471	0.4389690297
472	0.4388297717
473	0.438809322
474	0.4387855901
475	0.4386336692
476	0.4386150749
477	0.4385599675
478	0.4384332499
479	0.4383221766
480	0.4382791025
481	0.438240863
482	0.43815956
483	0.4380590501
484	0.4380411417
485	0.4379030816
486	0.43781226
487	0.4377797736
488	0.437752153
489	0.4377333639
490	0.4376866161
491	0.4376459966
492	0.4376076403
493	0.4375799073
494	0.4374721116
495	0.4374279202
496	0.4374136071
497	0.4373729994
498	0.4373655251
499	0.4373212233
500	0.4372205729
501	0.4371762092
502	0.4371495603
503	0.437077315
504	0.4370746189
505	0.4369543365
506	0.4369382295
507	0.436753022
508	0.4366757487
509	0.4366730698
510	0.4365812734
511	0.4364884057
512	0.4363241284
513	0.4362912013
514	0.4361901755
515	0.4361069106
516	0.4360335687
517	0.4360025758
518	0.4359999428
519	0.4358819292
520	0.4357765694
521	0.4356379015
522	0.4356041967
523	0.4355863739
524	0.435425396
525	0.4353258601
526	0.4352975612
527	0.4352875153
528	0.4352821785
529	0.4351269795
530	0.4350060987
531	0.4348789746
532	0.4346768829
533	0.4345773058
534	0.4345437216
535	0.4345104583
536	0.4344329767
537	0.4344212198
538	0.4343533925
539	0.4342980749
540	0.4341756147
541	0.4341440916
542	0.4341384211
543	0.4341383438
544	0.4340724434
545	0.4339385187
546	0.4338258649
547	0.4337751115
548	0.4336641635
549	0.4336294015
550	0.4335008528
551	0.4334782801
552	0.4334498236
553	0.43330773
554	0.4332725046
555	0.4331440647
556	0.4331316666
557	0.4331169144
558	0.4329660933
559	0.4329450543
560	0.4329189141
561	0.4328446698
562	0.4327280999
563	0.4326210739
564	0.4326185484
565	0.432607583
566	0.4324930668
567	0.4324924774
568	0.432369045
569	0.432350361
570	0.4322728537
571	0.4322557005
572	0.4320661002
573	0.4320341095
574	0.4319170955
575	0.4318172604
576	0.431643791
577	0.4316256058
578	0.4316002862
579	0.4315696718
580	0.431501719
581	0.4315017188
582	0.431394153
583	0.4313941526
584	0.431382935
585	0.4313663957
586	0.4313426836
587	0.4312020389
588	0.431185319
589	0.4311631057
590	0.4311631056
591	0.4311326299
592	0.4311154509
593	0.4310538338
594	0.431040834
595	0.43095288
596	0.4308228143
597	0.4307748031
598	0.4307383639
599	0.4305271803
